Date,O,H,L,C,Turnover ,Shares_traded
01-Jan-21,1257.9,1265.5,1255.8,1260.45,5366.53,4253550
04-Jan-21,1269,1290,1261.15,1288.25,9214.4,7208454
05-Jan-21,1282,1299,1275.05,1293.8,10505.96,8145280
06-Jan-21,1300,1302,1268.05,1282.1,9226.98,7161715
07-Jan-21,1296,1297.65,1255.5,1262.15,13875.42,10954918
08-Jan-21,1278.25,1316.8,1278.25,1312.1,17117.01,13186251
11-Jan-21,1342.1,1383.35,1340,1376.2,28058.55,20528626
12-Jan-21,1378,1378,1360,1371.75,11382.71,8309868
13-Jan-21,1373.85,1392.8,1360,1387.15,19916.24,14442997
14-Jan-21,1360,1384,1318.45,1370.5,37411.22,27521697
15-Jan-21,1360,1364.45,1340,1344.95,20319.42,15018441
18-Jan-21,1338,1340,1306,1312.05,11702.15,8861765
19-Jan-21,1320,1331,1312,1316.65,7374.69,5585744
20-Jan-21,1320.55,1348.4,1320.55,1339.45,11009.22,8225838
21-Jan-21,1350,1361.05,1335,1339.7,8257.35,6142421
22-Jan-21,1327,1356,1326.55,1340.85,12971.26,9646591
25-Jan-21,1345,1347.9,1313,1325.1,8751.27,6542611
27-Jan-21,1319.6,1327.55,1285.1,1301,10646.86,8133665
28-Jan-21,1291.8,1296.45,1272.55,1276.2,5979.77,4660690
29-Jan-21,1286.25,1291.15,1231,1239.05,15269.44,12183519
01-Feb-21,1250.55,1277.95,1241,1260.9,11150.1,8880279
02-Feb-21,1280,1294.4,1263.6,1271.25,8789.22,6892490
03-Feb-21,1277.65,1304,1273,1284.65,10549,8182968
04-Feb-21,1285,1293.4,1272.05,1279.35,6446.49,5032240
05-Feb-21,1286.4,1288.75,1262,1272.1,6956.47,5477481
08-Feb-21,1285.5,1310,1275.5,1303.55,8943.25,6921922
09-Feb-21,1306.9,1332,1297.85,1305.55,10498.27,7965949
10-Feb-21,1295.8,1304.35,1283.6,1296.5,7697.27,5951207
